h_Country,h_RegNumber,h_Name,h_Website,merged,matchedOn,h_IsEcommerce,import from master,import from builtwith,score,h_HasMarketingDepartment,h_NOfEmployees,HasGoogleAdsOrFacebookAds,h_Industry1,h_Industry3,Industry_n_norm,h_HasFbOrGoogle,,h_Website_Match FB||GOOGLE
DK,36467614,POWERWEAR APS,powerwear.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,22,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,prbelts.dk
DK,14252533,HULTAFORS GROUP DANMARK A/S,hultaforsgroup.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,27,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,oddspace.dk
DK,27908780,FAIRPOINT OUTDOORS A/S,westin-fishing.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,67,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,ryge-butikken.dk
DK,16313637,VIRBAC DANMARK A/S,virbac.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,26,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,profgear.dk
DK,78823917,The Headwear Company A/S,theheadwearcompany.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,nyborg-dyrehandel.dk
DK,19534332,SWIENTY A/S,swienty.com,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,mx-life.dk
DK,25277651,BAZE A/S,baze.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,musclehelper.dk
DK,20456191,MÖLNLYCKE HEALTH CARE ApS,molnlycke.dk,FALSE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,33,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,madebyhand.dk
DK,28707908,BISGAARD SKO A/S,bisgaardshoes.com,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,31,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,hypevintage.dk
DK,17284592,H.W. LYNGBY A/S,hw-homeware.dk,TRUE,"[""Country = DK + Top Selected industry + FTE range: 20 - 80"",""Is not eCommerce"",""In selected sub-industry"",""Has Marketing Department""]",,,,80,TRUE,28,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,,,,roomstore.dk
